Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street,Location,Lat,Long
190325212,11/23/2019,1315,3,Southwest,328,21,F,W,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,28TH                         ST,E  UNIVERSITY,,34.0278,-118.281
5809994,11/27/2019,2100,18,Southeast,1801,20,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,FIGUEROA,MANCHESTER,,33.9601,-118.2827
190818921,11/27/2019,1645,8,West LA,893,42,M,W,18,Drunkeness,M,41.27CLAMC,DRINKING IN PUBLIC,SEPULVEDA                    BL,PEARL,,34.0344,-118.4336
5672540,11/24/2019,356,15,N Hollywood,1547,30,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,BURBANK,HOLLYWOOD                    FY,,34.1673,-118.3816
5806232,11/23/2019,149,2,Rampart,239,25,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,WESTERN                      AV,101 SOUTHBOUND,,34.0609,-118.2535
190112235,4/26/2019,1505,1,Central,152,57,M,H,18,Drunkeness,M,41.27CLAMC,DRINKING IN PUBLIC,6TH,HILL,,34.0481,-118.2542
190112276,4/27/2019,2215,1,Central,163,35,M,H,17,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,7TH,FLOWER,,34.0438,-118.2547
190210388,4/22/2019,1655,2,Rampart,245,20,M,H,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,,34.0601,-118.2761
190210389,4/22/2019,1655,2,Rampart,245,21,M,H,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,,34.0601,-118.2761
190210391,4/23/2019,1740,2,Rampart,245,54,M,B,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,,34.0601,-118.2761
190210392,4/23/2019,1735,2,Rampart,245,28,M,B,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,,34.0601,-118.2761
190210394,4/23/2019,1735,2,Rampart,245,48,F,B,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,,34.0601,-118.2761
190210396,4/25/2019,1720,2,Rampart,245,34,M,W,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,,34.0601,-118.2761
190210398,4/25/2019,1700,2,Rampart,251,27,F,B,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,CORONADO,7TH                          ST,,34.059,-118.2824
190210400,4/25/2019,1700,2,Rampart,245,33,M,B,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,600 S  CORONADO                     ST,,,34.062,-118.2804
190210401,4/25/2019,1620,2,Rampart,245,62,M,H,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,,34.0601,-118.2761
190210402,4/27/2019,2125,2,Rampart,245,56,M,B,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,,34.0601,-118.2761
190210451,4/27/2019,1440,2,Rampart,271,31,M,H,17,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,OLYMPIC,PARK VIEW,,34.0524,-118.2835
