name,review_count,lat,long,price,count of crimes,count_of_crimes
The Penthouse at Mastro's,4650,34.0689333,-118.3987465,$$$$,53,53
Gracias Madre - West Hollywood,4101,34.0807951106153,-118.386972025037,$$,73,73
Taste on Melrose,2627,34.0825734070693,-118.374798180805,$$,132,132
GRANVILLE,2622,34.1451088111189,-118.25509250164,$$,40,40
Fig & Olive - Melrose Place,2488,34.0834751,-118.3761741,$$$,124,124
PUMP Restaurant,2408,34.0837127,-118.3852555,$$$,78,78
Firefly,2226,34.141468,-118.388418,$$$,379,379
The Abbey Food & Bar,2192,34.08361,-118.3853751,$$,77,77
Kitchen 24,2146,34.1003728128631,-118.329342038014,$$,919,919
Clifton's Republic,2011,34.0454,-118.25294,$$,3432,3432
Spago,1957,34.0676057,-118.3976687,$$$,59,59
Far Bar,1944,34.04973,-118.23944,$$,2566,2566
GRANVILLE,1921,34.1431440622596,-118.402830060188,$$,319,319
Saddle Ranch Chop House,1888,34.095603,-118.37238,$$,213,213
Moodaepo II,1721,34.059648,-118.289799,$$,2099,2099
Public School 310,1663,34.024275,-118.394556,$$,267,267
Musso & Frank Grill,1641,34.101802,-118.335394,$$$,845,845
El Compadre,1630,34.09769,-118.35205,$$,659,659
"The Butcher, The Baker, The Cappuccino Maker",1607,34.0921328,-118.3805803,$$,86,86
The Honor Bar,1573,34.06617,-118.39872,$$,62,62
"The Rooftop at The Standard, Downtown LA",1568,34.0501911926812,-118.256970106494,$$$,3424,3424
Black Market Liquor Bar,1537,34.14317,-118.3911,$$,373,373
EightyTwo,1498,34.045368,-118.237335,$$,2400,2400
Meet in Paris,1483,34.0219647,-118.3962699,$$,274,274
Alibi Room,1475,33.99689,-118.42654,$$,216,216
Laurel Hardware,1461,34.0906651,-118.3642799,$$,321,321
Westside Tavern,1458,34.039642,-118.428946,$$,482,482
Wokcano,1451,34.048593,-118.25917,$$,3478,3478
Hamburger Mary's,1428,34.0905573,-118.3700477,$$,228,228
Kanpai Japanese Sushi Bar & Grill,1424,33.96185,-118.4214,$$$,205,205
The Overland Cafe,1408,34.0223554,-118.4099716,$$,342,342
Tam O'Shanter,1399,34.125675145001,-118.264257899961,$$$,125,125
GRANVILLE,1386,34.0771299,-118.38068,$$,113,113
Wood & Vine,1343,34.1014405415506,-118.326316136051,$$,940,940
Tart Restaurant,1301,34.0736311266237,-118.36157755208,$$,208,208
Industriel,1300,34.0486928,-118.2556854,$$,3420,3420
Good Times at Davey Wayne's,1294,34.100235,-118.323966,$$,944,944
Blue Cow Kitchen & Bar,1293,34.051479,-118.251659,$$,3320,3320
MESSHALL,1267,34.1116,-118.287737,$$,339,339
Rockwell Table & Stage,1244,34.1022651,-118.2917498,$$,556,556
The Village Idiot,1237,34.083728207846,-118.350996084213,$$,608,608
Il Cielo,1222,34.0719384,-118.3884127,$$$$,73,73
SOL Mexican Cocina,1218,33.97607616706,-118.416961589194,$$,172,172
BAR Ama,1208,34.0483374,-118.2477806,$$,3271,3271
Velvet Margarita,1205,34.10028,-118.32927,$$,920,920
El Paseo Inn,1193,34.0574823572481,-118.237740052736,$$,2342,2342
Spitz - Eagle Rock,1190,34.1412910456986,-118.221491621097,$$,50,50
Le Petit Paris,1189,34.0481,-118.24846,$$$,3295,3295
Barbrix Restaurant & Wine Bar,1162,34.1040697732704,-118.272939999995,$$,369,369
Escala,1144,34.06373,-118.296869,$$,1815,1815
