id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,lat,long
81kXeyBt1AKiJC_HITT9KA,blue-cow-kitchen-and-bar-los-angeles-2,Blue Cow Kitchen & Bar,https://s3-media2.fl.yelpcdn.com/bphoto/6rG8Ih9Nk5tvUCRgYypNfg/o.jpg,False,https://www.yelp.com/biz/blue-cow-kitchen-and-bar-los-angeles-2?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,1293,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 34.051479, 'longitude': -118.251659}",['delivery'],$$,"{'address1': '350 S Grand Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90071', 'country': 'US', 'state': 'CA', 'display_address': ['350 S Grand Ave', 'Los Angeles, CA 90071']}",+12136212249,(213) 621-2249,6520.630986442001,34.051479,-118.251659
veyBgbOjIHv7npz7eHf1NQ,eightytwo-los-angeles-2,EightyTwo,https://s3-media2.fl.yelpcdn.com/bphoto/kE7_HynUJGmBGxq6uENRTQ/o.jpg,False,https://www.yelp.com/biz/eightytwo-los-angeles-2?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,1499,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",4.0,"{'latitude': 34.045368, 'longitude': -118.237335}",[],$$,"{'address1': '707 E 4th Pl', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['707 E 4th Pl', 'Los Angeles, CA 90013']}",+12136268200,(213) 626-8200,7941.361715633049,34.045368,-118.237335
EjRBYCUq2sx-TH77zubUfw,far-bar-los-angeles-4,Far Bar,https://s3-media2.fl.yelpcdn.com/bphoto/W82kCJsKyJzMOUqa3gI_jw/o.jpg,False,https://www.yelp.com/biz/far-bar-los-angeles-4?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,1945,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",3.5,"{'latitude': 34.04973, 'longitude': -118.23944}","['delivery', 'pickup']",$$,"{'address1': '347 E 1st St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['347 E 1st St', 'Los Angeles, CA 90012']}",+12136179990,(213) 617-9990,7660.318190116519,34.04973,-118.23944
N05X5dnwzpWvLg7ZRcMtcA,escala-los-angeles-2,Escala,https://s3-media3.fl.yelpcdn.com/bphoto/VjuDHXjoCIC-BM4K-SprzA/o.jpg,False,https://www.yelp.com/biz/escala-los-angeles-2?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,1148,"[{'alias': 'colombian', 'title': 'Colombian'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 34.06373, 'longitude': -118.296869}","['delivery', 'restaurant_reservation']",$$,"{'address1': '3451 W 6th St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3451 W 6th St', 'Los Angeles, CA 90020']}",+12133871113,(213) 387-1113,2270.436506539745,34.06373,-118.296869
qA9Dqezi-kqbIBtM3c07Ew,manuela-los-angeles-2,Manuela,https://s3-media1.fl.yelpcdn.com/bphoto/_PMjUVoWVdVgf7EyeOkqSQ/o.jpg,False,https://www.yelp.com/biz/manuela-los-angeles-2?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,924,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 34.04608, 'longitude': -118.23489}",['delivery'],$$,"{'address1': '907 E 3rd St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['907 E 3rd St', 'Los Angeles, CA 90013']}",+13238490480,(323) 849-0480,8153.413454983777,34.04608,-118.23489
KF0iy1GeuDYm_1EyyVD6ig,tao-asian-bistro-los-angeles,TAO Asian Bistro,https://s3-media3.fl.yelpcdn.com/bphoto/cNtJFBXrxtZiJ0Eqr5FOeg/o.jpg,False,https://www.yelp.com/biz/tao-asian-bistro-los-angeles?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,989,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.0,"{'latitude': 34.0998942758967, 'longitude': -118.330590724572}","['delivery', 'pickup']",$$$,"{'address1': '6421 Selma Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90028', 'country': 'US', 'state': 'CA', 'display_address': ['6421 Selma Ave', 'Los Angeles, CA 90028']}",+13235937888,(323) 593-7888,4342.926312869285,34.0998942758967,-118.330590724572
-3S1PdyDbSQcqkIaX8VKrQ,wirtshaus-los-angeles-4,Wirtshaus,https://s3-media3.fl.yelpcdn.com/bphoto/96ceimu-o5Lk8piUT-8yDQ/o.jpg,False,https://www.yelp.com/biz/wirtshaus-los-angeles-4?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,858,"[{'alias': 'german', 'title': 'German'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}]",4.0,"{'latitude': 34.07757, 'longitude': -118.34438}","['delivery', 'pickup', 'restaurant_reservation']",$$,"{'address1': '345 N La Brea Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['345 N La Brea Ave', 'Los Angeles, CA 90036']}",+13239319291,(323) 931-9291,2773.6426543948805,34.07757,-118.34438
CGJLSb8h5XF0zOzsFjY7WA,the-stocking-frame-los-angeles,The Stocking Frame,https://s3-media2.fl.yelpcdn.com/bphoto/o-VCxIBJs_EXOCz2gD7ydg/o.jpg,False,https://www.yelp.com/biz/the-stocking-frame-los-angeles?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,1051,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 34.0428503408091, 'longitude': -118.257759626778}","['delivery', 'pickup']",$$,"{'address1': '911 S Hill St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90015', 'country': 'US', 'state': 'CA', 'display_address': ['911 S Hill St', 'Los Angeles, CA 90015']}",+12134880373,(213) 488-0373,6220.636691979485,34.0428503408091,-118.257759626778
foBzz8XUsfttltHQSmLS3w,gracies-pizza-los-angeles,Gracie's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/6F3mSo_Tms6SzP1gSnlnPw/o.jpg,False,https://www.yelp.com/biz/gracies-pizza-los-angeles?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,522,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'salad', 'title': 'Salad'}]",4.5,"{'latitude': 34.0834606247128, 'longitude': -118.295175379382}","['delivery', 'pickup']",$,"{'address1': '4330 Melrose Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90029', 'country': 'US', 'state': 'CA', 'display_address': ['4330 Melrose Ave', 'Los Angeles, CA 90029']}",+13236631219,(323) 663-1219,3426.3859979110553,34.0834606247128,-118.295175379382
xRB-PmYVsVXVY1TaYUjapw,alibi-room-los-angeles-2,Alibi Room,https://s3-media3.fl.yelpcdn.com/bphoto/KYqbl63dVDlIgy8Q7-nOGw/o.jpg,False,https://www.yelp.com/biz/alibi-room-los-angeles-2?adjust_creative=RcgHbddTcn3KwStROU-gAQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=RcgHbddTcn3KwStROU-gAQ,1475,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.0,"{'latitude': 33.99689, 'longitude': -118.42654}",['delivery'],$$,"{'address1': '12236 W Washington Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['12236 W Washington Blvd', 'Los Angeles, CA 90066']}",+13103909300,(310) 390-9300,12072.709960850767,33.99689,-118.42654
