name,review_count,lat,long,price,count_of_crimes
The Penthouse at Mastro's,4651,34.0689333,-118.3987465,$$$$,53
Gracias Madre - West Hollywood,4105,34.0807951106153,-118.386972025037,$$,73
Taste on Melrose,2628,34.0825734070693,-118.374798180805,$$,132
GRANVILLE,2628,34.1451088111189,-118.25509250164,$$,40
Fig & Olive - Melrose Place,2487,34.0834751,-118.3761741,$$$,124
PUMP Restaurant,2409,34.0837127,-118.3852555,$$$,78
Firefly,2234,34.141468,-118.388418,$$$,379
The Abbey Food & Bar,2195,34.08361,-118.3853751,$$,77
Kitchen 24,2148,34.1003728128631,-118.329342038014,$$,919
Clifton's Republic,2016,34.0454,-118.25294,$$,3432
Spago,1959,34.0676057,-118.3976687,$$$,59
Far Bar,1945,34.04973,-118.23944,$$,2566
GRANVILLE,1927,34.1431440622596,-118.402830060188,$$,319
Saddle Ranch Chop House,1888,34.095603,-118.37238,$$,213
Moodaepo II,1723,34.059648,-118.289799,$$,2099
Public School 310,1664,34.024275,-118.394556,$$,267
Musso & Frank Grill,1646,34.101802,-118.335394,$$$,845
El Compadre,1629,34.09769,-118.35205,$$,659
"The Butcher, The Baker, The Cappuccino Maker",1613,34.0921328,-118.3805803,$$,86
The Honor Bar,1575,34.06617,-118.39872,$$,62
"The Rooftop at The Standard, Downtown LA",1567,34.0501911926812,-118.256970106494,$$$,3424
Black Market Liquor Bar,1539,34.14317,-118.3911,$$,373
EightyTwo,1499,34.045368,-118.237335,$$,2400
Meet in Paris,1484,34.0219647,-118.3962699,$$,274
Alibi Room,1475,33.99689,-118.42654,$$,216
Laurel Hardware,1464,34.0906651,-118.3642799,$$,321
Westside Tavern,1459,34.039642,-118.428946,$$,482
Wokcano,1451,34.048593,-118.25917,$$,3478
Hamburger Mary's,1428,34.0905573,-118.3700477,$$,228
Kanpai Japanese Sushi Bar & Grill,1424,33.96185,-118.4214,$$$,205
The Overland Cafe,1410,34.0223554,-118.4099716,$$,342
Tam O'Shanter,1400,34.125675145001,-118.264257899961,$$$,125
GRANVILLE,1388,34.0771299,-118.38068,$$,113
Wood & Vine,1346,34.1014405415506,-118.326316136051,$$,940
Tart Restaurant,1301,34.0736311266237,-118.36157755208,$$,208
Industriel,1297,34.0486928,-118.2556854,$$,3420
Good Times at Davey Wayne's,1295,34.100235,-118.323966,$$,944
Blue Cow Kitchen & Bar,1293,34.051479,-118.251659,$$,3320
MESSHALL,1269,34.1116,-118.287737,$$,339
Rockwell Table & Stage,1246,34.1022651,-118.2917498,$$,556
The Village Idiot,1237,34.083728207846,-118.350996084213,$$,608
SOL Mexican Cocina,1222,33.97607616706,-118.416961589194,$$,172
Il Cielo,1221,34.0719384,-118.3884127,$$$$,73
BAR Ama,1209,34.0483374,-118.2477806,$$,3271
Velvet Margarita,1205,34.10028,-118.32927,$$,920
El Paseo Inn,1196,34.0574823572481,-118.237740052736,$$,2342
Le Petit Paris,1195,34.0481,-118.24846,$$$,3295
Spitz - Eagle Rock,1191,34.1412910456986,-118.221491621097,$$,50
Barbrix Restaurant & Wine Bar,1164,34.1040697732704,-118.272939999995,$$,369
Escala,1148,34.06373,-118.296869,$$,1815
