name,review_count,lat,long,price,count_of_crimes
The Penthouse at Mastro's,4651,34.0689333,-118.3987465,$$$$,53
Gracias Madre - West Hollywood,4105,34.0807951106153,-118.386972025037,$$,73
Taste on Melrose,2628,34.0825734070693,-118.374798180805,$$,132
GRANVILLE,2628,34.1451088111189,-118.25509250164,$$,40
Fig & Olive - Melrose Place,2487,34.0834751,-118.3761741,$$$,124
PUMP Restaurant,2409,34.0837127,-118.3852555,$$$,78
Firefly,2234,34.141468,-118.388418,$$$,379
The Abbey Food & Bar,2195,34.08361,-118.3853751,$$,77
Kitchen 24,2148,34.1003728128631,-118.329342038014,$$,919
Clifton's Republic,2016,34.0454,-118.25294,$$,3432
Spago,1959,34.0676057,-118.3976687,$$$,59
Far Bar,1945,34.04973,-118.23944,$$,2566
GRANVILLE,1927,34.1431440622596,-118.402830060188,$$,319
Saddle Ranch Chop House,1888,34.095603,-118.37238,$$,213
Moodaepo II,1723,34.059648,-118.289799,$$,2099
Public School 310,1664,34.024275,-118.394556,$$,267
Musso & Frank Grill,1646,34.101802,-118.335394,$$$,845
El Compadre,1629,34.09769,-118.35205,$$,659
"The Butcher, The Baker, The Cappuccino Maker",1613,34.0921328,-118.3805803,$$,86
The Honor Bar,1575,34.06617,-118.39872,$$,62
"The Rooftop at The Standard, Downtown LA",1567,34.0501911926812,-118.256970106494,$$$,3424
Black Market Liquor Bar,1539,34.14317,-118.3911,$$,373
EightyTwo,1499,34.045368,-118.237335,$$,2400
Meet in Paris,1484,34.0219647,-118.3962699,$$,274
Alibi Room,1475,33.99689,-118.42654,$$,216
Laurel Hardware,1464,34.0906651,-118.3642799,$$,321
Westside Tavern,1459,34.039642,-118.428946,$$,482
Wokcano,1451,34.048593,-118.25917,$$,3478
Hamburger Mary's,1428,34.0905573,-118.3700477,$$,228
Kanpai Japanese Sushi Bar & Grill,1424,33.96185,-118.4214,$$$,205
The Overland Cafe,1410,34.0223554,-118.4099716,$$,342
Tam O'Shanter,1400,34.125675145001,-118.264257899961,$$$,125
GRANVILLE,1388,34.0771299,-118.38068,$$,113
Wood & Vine,1346,34.1014405415506,-118.326316136051,$$,940
Tart Restaurant,1301,34.0736311266237,-118.36157755208,$$,208
Industriel,1297,34.0486928,-118.2556854,$$,3420
Good Times at Davey Wayne's,1295,34.100235,-118.323966,$$,944
Blue Cow Kitchen & Bar,1293,34.051479,-118.251659,$$,3320
MESSHALL,1269,34.1116,-118.287737,$$,339
Rockwell Table & Stage,1246,34.1022651,-118.2917498,$$,556
The Village Idiot,1237,34.083728207846,-118.350996084213,$$,608
SOL Mexican Cocina,1222,33.97607616706,-118.416961589194,$$,172
Il Cielo,1221,34.0719384,-118.3884127,$$$$,73
BAR Ama,1209,34.0483374,-118.2477806,$$,3271
Velvet Margarita,1205,34.10028,-118.32927,$$,920
El Paseo Inn,1196,34.0574823572481,-118.237740052736,$$,2342
Le Petit Paris,1195,34.0481,-118.24846,$$$,3295
Spitz - Eagle Rock,1191,34.1412910456986,-118.221491621097,$$,50
Barbrix Restaurant & Wine Bar,1164,34.1040697732704,-118.272939999995,$$,369
Escala,1148,34.06373,-118.296869,$$,1815
Pasta Sisters - Culver City,1122,34.030029,-118.383983,$$,297
Elevate Lounge,1091,34.0498199,-118.25819,$$,3450
Beauty & Essex,1085,34.1001618158939,-118.329813609856,$$$,920
Jones,1082,34.0908449,-118.34645,$$,723
Night + Market Song,1060,34.0869930418948,-118.275715286631,$$,1179
The Little Easy,1058,34.04758,-118.25036,$$,3371
The Stocking Frame,1051,34.0428503408091,-118.257759626778,$$,3543
La Descarga,1036,34.09208,-118.30956,$$,1063
Idle Hour,1021,34.158376,-118.36992,$$,413
1739 Public House,1014,34.1027799836225,-118.292037834673,$$,567
The York,1012,34.121063,-118.206283,$$,202
Lock & Key,1010,34.06936,-118.29197,$$,1816
Arts District Brewing Company,1006,34.0446217616778,-118.235323801466,$$,2362
The Woodman,1004,34.148148,-118.430145,$$,322
Karl Strauss Brewing Company,1003,34.1362631,-118.3538828,$$,257
Dave & Buster's,1003,34.1021261755192,-118.339138571129,$$,789
Miceli's Italian - Hollywood,996,34.101261138916,-118.335983276367,$$,832
Terroni Downtown,990,34.0429268,-118.2536696,$$,3442
Gaam Restaurant and Lounge,990,34.063793182373,-118.296913146973,$$,1815
TAO Asian Bistro,989,34.0998942758967,-118.330590724572,$$$,916
Xlanes Family Entertainment Center,980,34.0452367129637,-118.238553392065,$$,2527
The Hudson,978,34.091192,-118.365525,$$,309
Te'Kila,975,34.101795,-118.3323928,$$,891
The Wellesbourne,965,34.03957,-118.43053933,$$$,476
La Golondrina Mexican Cafe,959,34.0571939,-118.2384039,$$,2351
El Carmen,954,34.0720873,-118.367282,$$,167
Mel's Drive In,948,34.100918,-118.338433,$$,801
La Bohème,946,34.0903625488281,-118.373489379883,$$$,179
Bon Vivant Market & Cafe,940,34.1173706,-118.2620697,$$,148
Tortilla Republic,935,34.081413,-118.385258,$$$,82
Wolfgang Puck Bar & Grill,931,34.0445594289176,-118.265931553442,$$,3540
Birds Rotisserie Chicken Cafe & Bar,930,34.1053834528783,-118.318904112569,$$,908
Manuela,924,34.04608,-118.23489,$$,2334
Ysabel,923,34.088527,-118.361878,$$$,473
Pace,918,34.10906,-118.3697,$$$,261
Busby's East,916,34.062123,-118.345795,$$,282
Izakaya Fu-ga,914,34.0501189106436,-118.241461110451,$$,2618
Café Stella,913,34.0921489105996,-118.280392260188,$$$,677
Napa Valley Grille,902,34.0603866256743,-118.44353159259,$$,313
The Association,901,34.0450503,-118.2498806,$$,3345
Craig's,901,34.08056,-118.38652,$$$,74
Harold & Belle's,900,34.0254551,-118.327966,$$,607
Javier's Century City,896,34.0599599,-118.41982,$$$,133
Rainbow Bar & Grill,896,34.0907526,-118.3884163,$$,60
Off Vine Restaurant,894,34.097313,-118.325975,$$,954
Desert Rose,891,34.101978,-118.28705,$$,520
The Short Stop,890,34.0752952,-118.2536317,$,1673
The Backhouse,883,34.03962,-118.4302,$$,476
The LINE LA,879,34.06213,-118.300995,$$,1747
Pez Cantina,873,34.0515515,-118.2534951,$$,3372
